"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"25 de septiembre","El SPF que deja glow… y del que nadie te cuenta la pega SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum Set (2 piezas) · Un poco más de 25 EUR· Pega honesta: No es la opción más robusta si se busca una textura densa o un acabado totalmente mate; deja acabado luminoso/natural. sígueme · link en bio / Amazon ES #SKIN #spf #SOL ","https://www.tiktok.com/@hoymegusto/video/7686900441174543638","18 de septiembre","22","0","1","1138"
"25 de septiembre","Huda Beauty ORIGINAL Easy Bake Loose Baking & Setting Powder, 20 g, Coffee Cake — menos de 55 €. Usalo para fijar tu maquillaje. Es «Perfecto». ¿Lo conoces? Cuéntame abajo. Sígueme · link en bio #beauty #maquillaje #hudabeauty #tiktokbeauty","https://www.tiktok.com/@hoymegusto/video/7688441495715761430","22 de septiembre","4","0","1","777"
"25 de septiembre","DearKlairs Rich Moisturizing Soothing Cream, 80 ml — menos de 27 €. «Como hidratante y función barrera es una maravilla.» ¿Lo probarías? Cuéntame abajo. Sígueme · link en bio #kbeauty #hidratante #belleza ","https://www.tiktok.com/@hoymegusto/video/7687694159959870742","20 de septiembre","3","0","1","746"
"25 de septiembre","¿Piel poco hidratada? MÁDARA SOS+ Sensitive Moisturizer, 50 ml — menos de 43 €. Estoy encantada con este producto, es hidratante pero ligero en la piel. No te pases en la dosificación. Sígueme · link en bio #beauty #piel #hidratacion #cuidadopersonal","https://www.tiktok.com/@hoymegusto/video/7688673826850311446","23 de septiembre","1","0","1","665"
"25 de septiembre","BIODANCE Pore Perfecting Collagen Peptide Cream, 50 ml — menos de 27 €. ¿Tú lo dosificarías igual o te pasas? Cuéntame abajo. Sígueme · link en bio / Amazon ES #kbeauty #belleza  #koreanskincare ","https://www.tiktok.com/@hoymegusto/video/7688098501951032598","21 de septiembre","0","0","1","274"
"25 de septiembre","belif Aqua Bomb Cream Daily Moisturizer, 50 ml — menos de 35 €. Pega: GLORIA (compra verificada; valoración producto 4.5/5): «Un producto muy bueno y que hidrata muchisimo mi piel, me gusta la textura tipo ...» ¿Tú lo dosificarías igual o te pasas? @Victoria | UGC Creator  Cuéntame abajo. Sígueme · link en bio #kbeauty #amazonES #skincare ","https://www.tiktok.com/@hoymegusto/video/7687293755723910422","19 de septiembre","3","0","1","274"
"25 de septiembre","Sérum de cuero cabelludo ‘defensa total’… con truco de dosis Kérastase Spécifique Potentialist Serum 90 ml · Casi 37 € Pega honesta: La cantidad excesiva engrasa el pelo; hay que ajustar la dosis. sígueme · link en bio #serum #cuidadodelcabello #chicas ","https://www.tiktok.com/@hoymegusto/video/7686591669722074390","17 de septiembre","2","0","1","272"
"25 de septiembre","Real Techniques Blends Set, colección de 10 brochas con neceser — menos de 32 €. Este set es muy completo. Las cerdas de la brocha son muy suaves ... Se lavan con facilidad y no pierden cerdas. ¿Te gusta? Cuéntame abajo. Sígueme · link en bio #beauty #maquillaje  #belleza ","https://www.tiktok.com/@hoymegusto/video/7688038139155336470","21 de septiembre","0","0","1","266"
"25 de septiembre","Fenty Beauty BY RIHANNA Stunna Lipstick, 40 g — menos de 50 €.  «Color increíble, queda realmente espectacular, dura horas y horas» ¿Te gusta? Cuéntame abajo. Sígueme · link en bio #beauty #labios  #belleza ","https://www.tiktok.com/@hoymegusto/video/7687890955764124950","21 de septiembre","1","0","1","256"
"25 de septiembre","BIODANCE Pore Perfecting Collagen Peptide Cream, 50 ml — menos de 27 €. «Funciona desde la primera aplicación!» @koreanbeautydiary  ¿Tú lo dosificarías  o te pasarías? Cuéntame abajo. Sígueme · link en bio #kbeauty #skincaretips  #skincare ","https://www.tiktok.com/@hoymegusto/video/7687511852741381398","20 de septiembre","2","0","2","256"
"25 de septiembre","La belleza natural no se negocia. #belleza #chicas #maquillaje ","https://www.tiktok.com/@hoymegusto/video/7688822548259228950","23 de septiembre","0","0","1","258"
"25 de septiembre","Boquilla alisadora compatible dorada para Dyson Airwrap HS01/HS05/HS08 · Menos de 37 EUR · Pega honesta: no alisa como una plancha; solo funciona parecido a secador y cepillo y
 no compensa el precio. #pelo #dyson #alisado ","https://www.tiktok.com/@hoymegusto/video/7685869740853562646","15 de septiembre","3","0","0","789"
"25 de septiembre","Anti-frizz térmico para teñido… y la pega con sonrisa Kérastase Chroma Absolu Chroma Thermique Serum 150 ml · Menos de 29 EUR ·  Pega honesta: Hay dice que, pese a usarlo, sigue con el pelo algo encrespado.  Sígueme #hair #hairtok #encrespamiento #sigueme ","https://www.tiktok.com/@hoymegusto/video/7685051792983493890","13 de septiembre","1","0","1","286"
"25 de septiembre","La esencia caracol más famosa en serum… y la pega honesta: me da cosita ponerme baba de caracol. COSRX Advanced Snail 96 Mucin Power Essence 100 ml · Casi 15 EUR. Sígueme #SKINCARE #SERUM #BELLEZA ","https://www.tiktok.com/@hoymegusto/video/7685484523550805270","14 de septiembre","1","0","1","793"
