"Date","Video Views","Profile Views","Likes","Comments","Shares"
"7 de julio","0","0","0","0","0"
"8 de julio","0","0","0","0","0"
"9 de julio","0","0","0","0","0"
"10 de julio","0","0","0","0","0"
"11 de julio","0","0","0","0","0"
"12 de julio","0","0","0","0","0"
"13 de julio","0","0","0","0","0"
"14 de julio","0","0","0","0","0"
"15 de julio","0","0","0","0","0"
"16 de julio","0","0","0","0","0"
"17 de julio","0","0","0","0","0"
"18 de julio","0","0","0","0","0"
"19 de julio","0","0","0","0","0"
"20 de julio","0","0","0","0","0"
"21 de julio","0","0","0","0","0"
"22 de julio","0","0","0","0","0"
"23 de julio","0","0","0","0","0"
"24 de julio","0","0","0","0","0"
"25 de julio","0","0","0","0","0"
"26 de julio","0","0","0","0","0"
"27 de julio","0","0","0","0","0"
"28 de julio","0","0","0","0","0"
"29 de julio","0","0","0","0","0"
"30 de julio","0","0","0","0","0"
"31 de julio","0","0","0","0","0"
"1 de agosto","0","0","0","0","0"
"2 de agosto","0","0","0","0","0"
"3 de agosto","0","0","0","0","0"
"4 de agosto","0","0","0","0","0"
"5 de agosto","0","0","0","0","0"
"6 de agosto","0","0","0","0","0"
"7 de agosto","0","0","0","0","0"
"8 de agosto","0","0","0","0","0"
"9 de agosto","0","0","0","0","0"
"10 de agosto","0","0","0","0","0"
"11 de agosto","0","0","0","0","0"
"12 de agosto","0","0","0","0","0"
"13 de agosto","0","0","0","0","0"
"14 de agosto","0","0","0","0","0"
"15 de agosto","0","0","0","0","0"
"16 de agosto","0","0","0","0","0"
"17 de agosto","0","0","0","0","0"
"18 de agosto","0","0","0","0","0"
"19 de agosto","0","0","0","0","0"
"20 de agosto","0","0","0","0","0"
"21 de agosto","0","0","0","0","0"
"22 de agosto","0","0","0","0","0"
"23 de agosto","0","0","0","0","0"
"24 de agosto","0","0","0","0","0"
"25 de agosto","0","0","0","0","0"
"26 de agosto","0","0","0","0","0"
"27 de agosto","0","0","0","0","0"
"28 de agosto","0","0","0","0","0"
"29 de agosto","0","0","0","0","0"
"30 de agosto","23","0","0","0","1"
"31 de agosto","8","0","0","0","0"
"1 de septiembre","295","0","2","0","0"
"2 de septiembre","1574","7","17","0","0"
"3 de septiembre","550","2","0","0","0"
"4 de septiembre","13","0","0","0","0"
