"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"7 de septiembre","The Ordinary Original #rutinafacial #cuidadopersonal #guapastiktok","https://www.tiktok.com/@hoymegusto/video/7680683308577049878","1 de septiembre","19","0","0","1419"
"7 de septiembre","102.711 valoraciones. Pero no son suyas. Lo bueno:spray sin aclarado, desenreda y quita el encrespamiento Lo malo: Amazon junta más valoraciones. Mira cual estás pidiendo. #cuidadodelcabello #revlon #pelo ","https://www.tiktok.com/@hoymegusto/video/7681170942973824278","3 de septiembre","0","0","0","273"
"7 de septiembre","Ninguna crema te quita la celulitis. Esta tampoco ☀️ Pero te vas a gustar más al espejo. Lo que sí hace: piel hidratada, más suave y más firme. Lo dicen las reseñas, no la marca. La clave: constancia y masaje. Dos minutos al salir de la ducha. 4,2 con 4.321 valoraciones. Unos 10 €. #celulitis #cuidadocorporal #verano #pielbonita","https://www.tiktok.com/@hoymegusto/video/7681940993507151126","5 de septiembre","1","0","0","267"
"7 de septiembre","Los sábados nos sientan bien #skincare #guapastiktok","https://www.tiktok.com/@hoymegusto/video/7681933825093520662","5 de septiembre","0","0","0","264"
"7 de septiembre","Cerave Loción Hidratante #cuidadopersonal","https://www.tiktok.com/@hoymegusto/video/7681382323928976662","3 de septiembre","0","0","0","267"
"7 de septiembre","The ordinary - v2 #rutinafacial #cuidadopersonal","https://www.tiktok.com/@hoymegusto/video/7680823733140966678","2 de septiembre","1","0","0","251"
"7 de septiembre","The ordinary x4 #rutinafacial #cuidadopersonal #guapastiktok","https://www.tiktok.com/@hoymegusto/video/7680685526457912598","1 de septiembre","0","0","0","191"
"7 de septiembre","Nadie ha dormido bien. La diferencia es quién lo disimula 🐼 Lo bueno: se pone en 2 minutos con la esponjita y no se mete en las arruguitas. Lo malo: el tubo es diminuto y con piel grasa toca retocar por la tarde. 4,5 con 20.600 valoraciones. Ronda los 7 €. #corrector #ojeras #maquillajefacil #maybelline","https://www.tiktok.com/@hoymegusto/video/7679873385693777154","30 de agosto","0","0","0","3"
"7 de septiembre","40 € en una crema y la piel igual. Esto ronda los 13 😐 Tónico exfoliante con ácido glicólico al 7%. Las reseñas cuentan que las manchas se van difuminando y que la textura queda más lisa en unas semanas. La pega: no es de uso diario. Dos veces por semana, y protector solar sin excusas. 4,7 con 59.572 valoraciones. #skincare #acidoglicolico #theordinary #rutinafacial","https://www.tiktok.com/@hoymegusto/video/7679873001919188246","30 de agosto","0","0","0","3"
"7 de septiembre","Con esta mascarilla solo tienes un intento 😬 Lo bueno: te la pones de noche, se queda pegada como una segunda piel y amaneces con la piel hidratada y con brillo. Lo malo: llega pringosísima. Si no la colocas bien a la primera, se rompe al moverla. 4,5 con 43.553 valoraciones. Unos 11 € las cuatro. #skincare #mascarilla #skincarecoreano #biodance","https://www.tiktok.com/@hoymegusto/video/7680091224421895426","31 de agosto","0","0","0","2"
